CustomerID,Frequency,Quantity,MonetaryValue,ActivityPeriod,AvgOrderValue,AvgQuantityPerOrder,Recency,PurchaseVariability,SeasonalityScore,Country,Cluster
12346,1,74215,77183.6,1,77183.6,74215.0,325,0.0,0.28867513459481287,United Kingdom,1
12347,7,2458,4310.0,366,615.7142857142857,351.14285714285717,1,23.28990231050118,0.09713240700018479,Iceland,1
12348,4,2341,1797.24,283,449.31,585.25,74,48.51485730087981,0.1624348443972557,Finland,1
12349,1,631,1757.55,1,1757.55,631.0,18,34.655912704589504,0.28867513459481287,Italy,1
12350,1,197,334.4,1,334.4,197.0,309,7.275538185065964,0.28867513459481287,Norway,0
12352,8,536,2506.04,261,313.255,67.0,35,51.68790029756352,0.13276722643809258,Norway,1
12353,1,20,89.0,1,89.0,20.0,203,12.215427404174878,0.28867513459481287,Bahrain,0
12354,1,530,1079.4,1,1079.4,530.0,231,8.679742086377074,0.28867513459481287,Spain,0
12355,1,240,459.4,1,459.4,240.0,213,29.70352219466962,0.28867513459481287,Bahrain,0
12356,3,1591,2811.43,303,937.1433333333333,530.3333333333334,22,48.5722968956169,0.194658279499,Portugal,1
12357,1,2708,6207.67,1,6207.67,2708.0,32,39.56476161876249,0.28867513459481287,Switzerland,1
12358,2,248,1168.06,150,584.03,124.0,1,52.27752321904825,0.20255026434484444,Austria,1
12359,4,1622,6372.58,275,1593.145,405.5,57,31.33620817089572,0.14772833392379398,Cyprus,1
12360,3,1165,2662.06,149,887.3533333333334,388.3333333333333,51,21.39461772670865,0.15599161035119494,Austria,1
12361,1,91,189.9,1,189.9,91.0,286,3.280396317520186,0.28867513459481287,Belgium,0
12362,10,2229,5226.23,293,522.6229999999999,222.9,2,9.664671282056695,0.08264201363323477,Belgium,1
12363,2,408,552.0,133,276.0,204.0,109,15.751238912311859,0.21175161542379747,Unspecified,0
12364,4,1506,1313.1,105,328.275,376.5,7,8.910810071730502,0.14927387070904308,Belgium,1
12365,2,174,641.38,1,320.69,87.0,290,65.1966351414414,0.28867513459481287,Cyprus,0
12367,1,173,168.9,1,168.9,173.0,3,5.648958069655612,0.28867513459481287,Denmark,0
12370,4,2353,3545.69,310,886.4225,588.25,50,21.116236420001904,0.17170758150526064,Cyprus,1
12371,2,591,1887.96,15,943.98,295.5,44,44.277857887191665,0.28867513459481287,Switzerland,1
12372,3,794,1298.04,225,432.68,264.6666666666667,71,16.38258168926466,0.15391898043193497,Denmark,1
12373,1,197,364.6,1,364.6,197.0,310,10.26028296848613,0.28867513459481287,Austria,0
12374,1,342,742.9300000000001,1,742.9300000000001,342.0,24,19.77401063973374,0.28867513459481287,Austria,0
12375,2,178,457.5,88,228.75,89.0,10,14.672205115154863,0.20447699622170795,Finland,0
12377,2,944,1628.12,40,814.06,472.0,314,15.531661592534688,0.1962135891348143,Switzerland,1
12378,1,2529,4008.62,1,4008.62,2529.0,129,8.958342412809236,0.28867513459481287,Switzerland,1
12379,2,407,852.24,89,426.12,203.5,81,12.201029969133439,0.19462473604038072,Belgium,0
12380,4,1127,2724.81,165,681.2025,281.75,21,27.08885288224848,0.1295457297984738,Belgium,1
12381,5,808,1845.31,116,369.062,161.6,4,25.892950235134975,0.2056811508727898,Norway,1
12383,5,1532,1850.56,168,370.11199999999997,306.4,184,12.680055152091024,0.13220190850487312,Belgium,1
12384,2,126,585.27,93,292.635,63.0,28,17.295302608156128,0.19478485514277447,Switzerland,0
12386,2,354,401.9,30,200.95,177.0,337,22.821064830546362,0.23290003057626302,Australia,0
12388,6,1462,2780.66,312,463.4433333333333,243.66666666666666,15,16.84279813241532,0.11428300862598106,Australia,1
12390,1,353,549.84,1,549.84,353.0,79,7.172142344268664,0.28867513459481287,Belgium,0
